,SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
101,SO43764,1,9
102,SO43766,1,5
103,SO43766,1,9
104,SO43768,1,5
105,SO43768,1,9
106,SO43769,1,5
107,SO43769,1,9
108,SO43770,1,5
109,SO43770,1,9
110,SO43772,1,5
111,SO43772,1,9
112,SO43773,1,5
113,SO43773,1,9
114,SO43774,1,5
115,SO43774,1,9
116,SO43776,1,5
117,SO43776,1,9
118,SO43777,1,5
119,SO43777,1,9
120,SO43780,1,5
121,SO43780,1,9
122,SO43781,1,5
123,SO43781,1,9
124,SO43782,1,5
125,SO43782,1,9
126,SO43783,1,5
127,SO43783,1,9
128,SO43784,1,5
129,SO43784,1,9
130,SO43785,1,5
131,SO43785,1,9
132,SO43786,1,5
133,SO43786,1,9
134,SO43791,1,5
135,SO43791,1,9
136,SO43792,1,5
137,SO43792,1,9
138,SO43795,1,5
139,SO43795,1,9
140,SO43797,1,5
141,SO43797,1,9
142,SO43798,1,5
143,SO43798,1,9
144,SO43799,1,5
145,SO43799,1,9
146,SO43800,1,5
147,SO43800,1,9
148,SO43801,1,5
149,SO43801,1,9
150,SO43802,1,5
151,SO43802,1,9
152,SO43803,1,5
153,SO43803,1,9
154,SO43804,1,5
155,SO43804,1,9
156,SO43806,1,5
157,SO43806,1,9
158,SO43807,1,5
159,SO43807,1,9
160,SO43808,1,5
161,SO43808,1,9
162,SO43809,1,5
163,SO43809,1,9
164,SO43812,1,5
165,SO43812,1,9
166,SO43815,1,5
167,SO43815,1,9
168,SO43816,1,5
169,SO43816,1,9
170,SO43817,1,5
171,SO43817,1,9
172,SO43818,1,5
173,SO43818,1,9
174,SO43820,1,5
175,SO43820,1,9
176,SO43821,1,5
177,SO43821,1,9
178,SO43822,1,5
179,SO43822,1,9
180,SO43825,1,5
181,SO43825,1,9
182,SO43828,1,5
183,SO43828,1,9
184,SO43829,1,5
185,SO43829,1,9
186,SO43830,1,5
187,SO43830,1,9
188,SO43832,1,5
189,SO43832,1,9
190,SO43833,1,5
191,SO43833,1,9
192,SO43838,1,5
193,SO43838,1,9
194,SO43839,1,5
195,SO43839,1,9
196,SO43841,1,5
197,SO43841,1,9
198,SO43842,1,5
199,SO43842,1,9
200,SO43918,1,5
201,SO43918,1,9
202,SO43919,1,5
203,SO43919,1,9
204,SO43920,1,5
205,SO43920,1,9
206,SO43921,1,5
207,SO43921,1,9
208,SO43922,1,5
209,SO43922,1,9
210,SO43923,1,5
211,SO43923,1,9
212,SO43924,1,5
213,SO43924,1,9
214,SO43925,1,5
215,SO43925,1,9
216,SO43927,1,5
217,SO43927,1,9
218,SO43928,1,5
219,SO43928,1,9
220,SO43930,1,5
221,SO43930,1,9
222,SO43931,1,5
223,SO43931,1,9
224,SO43932,1,5
225,SO43932,1,9
226,SO43936,1,5
227,SO43936,1,9
228,SO43937,1,5
229,SO43937,1,9
230,SO43938,1,5
231,SO43938,1,9
232,SO43939,1,5
233,SO43939,1,9
234,SO43941,1,5
235,SO43941,1,9
236,SO43942,1,5
237,SO43942,1,9
238,SO43945,1,5
239,SO43945,1,9
240,SO43946,1,5
241,SO43946,1,9
242,SO43947,1,5
243,SO43947,1,9
244,SO43949,1,5
245,SO43949,1,9
246,SO43950,1,5
247,SO43950,1,9
248,SO43951,1,5
249,SO43951,1,9
250,SO43952,1,5
251,SO43952,1,9
252,SO43954,1,5
253,SO43954,1,9
254,SO43955,1,5
255,SO43955,1,9
256,SO43957,1,5
257,SO43957,1,9
258,SO43958,1,5
259,SO43958,1,9
260,SO43961,1,5
261,SO43961,1,9
262,SO43962,1,5
263,SO43962,1,9
264,SO43963,1,5
265,SO43963,1,9
266,SO43964,1,5
267,SO43964,1,9
268,SO43967,1,5
269,SO43967,1,9
270,SO43968,1,5
271,SO43968,1,9
272,SO43969,1,5
273,SO43969,1,9
274,SO43970,1,5
275,SO43970,1,9
276,SO43971,1,5
277,SO43971,1,9
278,SO43972,1,5
279,SO43972,1,9
280,SO43973,1,5
281,SO43973,1,9
282,SO43974,1,5
283,SO43974,1,9
284,SO43975,1,5
285,SO43975,1,9
286,SO43976,1,5
287,SO43976,1,9
288,SO43977,1,5
289,SO43977,1,9
290,SO43978,1,5
291,SO43978,1,9
292,SO43981,1,5
293,SO43981,1,9
294,SO43983,1,5
295,SO43983,1,9
296,SO43984,1,5
297,SO43984,1,9
298,SO43985,1,5
299,SO43985,1,9
300,SO43986,1,5
301,SO43986,1,9
302,SO43987,1,5
303,SO43987,1,9
304,SO43989,1,5
305,SO43989,1,9
306,SO43991,1,5
307,SO43991,1,9
308,SO43992,1,5
309,SO43992,1,9
310,SO43993,1,5
311,SO43993,1,9
312,SO43994,1,5
313,SO43994,1,9
314,SO43995,1,5
315,SO43995,1,9
316,SO43996,1,5
317,SO43996,1,9
318,SO43997,1,5
319,SO43997,1,9
320,SO43999,1,5
321,SO43999,1,9
322,SO44000,1,5
323,SO44000,1,9
324,SO44001,1,5
325,SO44001,1,9
326,SO44004,1,5
327,SO44004,1,9
328,SO44006,1,5
329,SO44006,1,9
330,SO44008,1,5
331,SO44008,1,9
332,SO44009,1,5
333,SO44009,1,9
334,SO44010,1,5
335,SO44010,1,9
336,SO44011,1,5
337,SO44011,1,9
338,SO44013,1,5
339,SO44013,1,9
340,SO44014,1,5
341,SO44014,1,9
342,SO44015,1,5
343,SO44015,1,9
344,SO44017,1,5
345,SO44017,1,9
346,SO44019,1,5
347,SO44019,1,9
348,SO44020,1,5
349,SO44020,1,9
350,SO44022,1,5
351,SO44022,1,9
352,SO44024,1,5
353,SO44024,1,9
354,SO44025,1,5
355,SO44025,1,9
356,SO44026,1,5
357,SO44026,1,9
358,SO44027,1,5
359,SO44027,1,9
360,SO44028,1,5
361,SO44028,1,9
362,SO44030,1,5
363,SO44030,1,9
364,SO44031,1,5
365,SO44031,1,9
366,SO44033,1,5
367,SO44033,1,9
368,SO44034,1,5
369,SO44034,1,9
370,SO44035,1,5
371,SO44035,1,9
372,SO44036,1,5
373,SO44036,1,9
374,SO44041,1,5
375,SO44041,1,9
376,SO44042,1,5
377,SO44042,1,9
378,SO44043,1,5
379,SO44043,1,9
380,SO44044,1,5
381,SO44044,1,9
382,SO44046,1,5
383,SO44046,1,9
384,SO44048,1,5
385,SO44048,1,9
386,SO44049,1,5
387,SO44049,1,9
388,SO44050,1,5
389,SO44050,1,9
390,SO44051,1,5
391,SO44051,1,9
392,SO44052,1,5
393,SO44052,1,9
394,SO44054,1,5
395,SO44054,1,9
396,SO44055,1,5
397,SO44055,1,9
398,SO44056,1,5
399,SO44056,1,9
400,SO44059,1,5
401,SO44059,1,9
402,SO44061,1,5
403,SO44061,1,9
404,SO44062,1,5
405,SO44062,1,9
406,SO44064,1,5
407,SO44064,1,9
408,SO44065,1,5
409,SO44065,1,9
410,SO44067,1,5
411,SO44067,1,9
412,SO44068,1,5
413,SO44068,1,9
414,SO44071,1,5
415,SO44071,1,9
416,SO44072,1,5
417,SO44072,1,9
418,SO44134,1,5
419,SO44134,1,9
420,SO44135,1,5
421,SO44135,1,9
422,SO44136,1,5
423,SO44136,1,9
424,SO44137,1,5
425,SO44137,1,9
426,SO44138,1,5
427,SO44138,1,9
428,SO44139,1,5
429,SO44139,1,9
430,SO44140,1,5
431,SO44140,1,9
432,SO44141,1,5
433,SO44141,1,9
434,SO44142,1,5
435,SO44142,1,9
436,SO44143,1,5
437,SO44143,1,9
438,SO44144,1,5
439,SO44144,1,9
440,SO44145,1,5
441,SO44145,1,9
442,SO44146,1,5
443,SO44146,1,9
444,SO44147,1,5
445,SO44147,1,9
446,SO44148,1,5
447,SO44148,1,9
448,SO44149,1,5
449,SO44149,1,9
450,SO44150,1,5
451,SO44150,1,9
452,SO44153,1,5
453,SO44153,1,9
454,SO44154,1,5
455,SO44154,1,9
456,SO44155,1,5
457,SO44155,1,9
458,SO44157,1,5
459,SO44157,1,9
460,SO44158,1,5
461,SO44158,1,9
462,SO44159,1,5
463,SO44159,1,9
464,SO44160,1,5
465,SO44160,1,9
466,SO44161,1,5
467,SO44161,1,9
468,SO44162,1,5
469,SO44162,1,9
470,SO44163,1,5
471,SO44163,1,9
472,SO44164,1,5
473,SO44164,1,9
474,SO44165,1,5
475,SO44165,1,9
476,SO44167,1,5
477,SO44167,1,9
478,SO44168,1,5
479,SO44168,1,9
480,SO44169,1,5
481,SO44169,1,9
482,SO44170,1,5
483,SO44170,1,9
484,SO44171,1,5
485,SO44171,1,9
486,SO44173,1,5
487,SO44173,1,9
488,SO44174,1,5
489,SO44174,1,9
490,SO44175,1,5
491,SO44175,1,9
492,SO44176,1,5
493,SO44176,1,9
494,SO44178,1,5
495,SO44178,1,9
496,SO44181,1,5
497,SO44181,1,9
498,SO44182,1,5
499,SO44182,1,9
500,SO44183,1,5
501,SO44183,1,9
502,SO44184,1,5
503,SO44184,1,9
504,SO44185,1,5
505,SO44185,1,9
506,SO44187,1,5
507,SO44187,1,9
508,SO44191,1,5
509,SO44191,1,9
510,SO44192,1,5
511,SO44192,1,9
512,SO44193,1,5
513,SO44193,1,9
514,SO44194,1,5
515,SO44194,1,9
516,SO44195,1,5
517,SO44195,1,9
518,SO44196,1,5
519,SO44196,1,9
520,SO44197,1,5
521,SO44197,1,9
522,SO44198,1,5
523,SO44198,1,9
524,SO44199,1,5
525,SO44199,1,9
526,SO44200,1,5
527,SO44200,1,9
528,SO44201,1,5
529,SO44201,1,9
530,SO44202,1,5
531,SO44202,1,9
532,SO44203,1,5
533,SO44203,1,9
534,SO44205,1,5
535,SO44205,1,9
536,SO44207,1,5
537,SO44207,1,9
538,SO44209,1,5
539,SO44209,1,9
540,SO44210,1,5
541,SO44210,1,9
542,SO44211,1,5
543,SO44211,1,9
544,SO44212,1,5
545,SO44212,1,9
546,SO44213,1,5
547,SO44213,1,9
548,SO44214,1,5
549,SO44214,1,9
550,SO44215,1,5
551,SO44215,1,9
552,SO44216,1,5
553,SO44216,1,9
554,SO44217,1,5
555,SO44217,1,9
556,SO44218,1,5
557,SO44218,1,9
558,SO44221,1,5
559,SO44221,1,9
560,SO44222,1,5
561,SO44222,1,9
562,SO44223,1,5
563,SO44223,1,9
564,SO44224,1,5
565,SO44224,1,9
566,SO44226,1,5
567,SO44226,1,9
568,SO44230,1,5
569,SO44230,1,9
570,SO44232,1,5
571,SO44232,1,9
572,SO44233,1,5
573,SO44233,1,9
574,SO44234,1,5
575,SO44234,1,9
576,SO44235,1,5
577,SO44235,1,9
578,SO44236,1,5
579,SO44236,1,9
580,SO44237,1,5
581,SO44237,1,9
582,SO44238,1,5
583,SO44238,1,9
584,SO44239,1,5
585,SO44239,1,9
586,SO44240,1,5
587,SO44240,1,9
588,SO44241,1,5
589,SO44241,1,9
590,SO44242,1,5
591,SO44242,1,9
592,SO44243,1,5
593,SO44243,1,9
594,SO44244,1,5
595,SO44244,1,9
596,SO44246,1,5
597,SO44246,1,9
598,SO44247,1,5
599,SO44247,1,9
600,SO44248,1,5
601,SO44248,1,9
602,SO44249,1,5
603,SO44249,1,9
604,SO44250,1,5
605,SO44250,1,9
606,SO44251,1,5
607,SO44251,1,9
608,SO44252,1,5
609,SO44252,1,9
610,SO44253,1,5
611,SO44253,1,9
612,SO44254,1,5
613,SO44254,1,9
614,SO44256,1,5
615,SO44256,1,9
616,SO44257,1,5
617,SO44257,1,9
618,SO44258,1,5
619,SO44258,1,9
620,SO44259,1,5
621,SO44259,1,9
622,SO44260,1,5
623,SO44260,1,9
624,SO44261,1,5
625,SO44261,1,9
626,SO44263,1,5
627,SO44263,1,9
628,SO44264,1,5
629,SO44264,1,9
630,SO44268,1,5
631,SO44268,1,9
632,SO44270,1,5
633,SO44270,1,9
634,SO44271,1,5
635,SO44271,1,9
636,SO44272,1,5
637,SO44272,1,9
638,SO44273,1,5
639,SO44273,1,9
640,SO44274,1,5
641,SO44274,1,9
642,SO44275,1,5
643,SO44275,1,9
644,SO44276,1,5
645,SO44276,1,9
646,SO44277,1,5
647,SO44277,1,9
648,SO44278,1,5
649,SO44278,1,9
650,SO44279,1,5
651,SO44279,1,9
652,SO44320,1,5
653,SO44320,1,9
654,SO44321,1,5
655,SO44321,1,9
656,SO44324,1,5
657,SO44324,1,9
658,SO44326,1,5
659,SO44326,1,9
660,SO44327,1,5
661,SO44327,1,9
662,SO44328,1,5
663,SO44328,1,9
664,SO44329,1,5
665,SO44329,1,9
666,SO44330,1,5
667,SO44330,1,9
668,SO44331,1,5
669,SO44331,1,9
670,SO44332,1,5
671,SO44332,1,9
672,SO44334,1,5
673,SO44334,1,9
674,SO44338,1,5
675,SO44338,1,9
676,SO44339,1,5
677,SO44339,1,9
678,SO44340,1,5
679,SO44340,1,9
680,SO44343,1,5
681,SO44343,1,9
682,SO44344,1,5
683,SO44344,1,9
684,SO44345,1,5
685,SO44345,1,9
686,SO44347,1,5
687,SO44347,1,9
688,SO44348,1,5
689,SO44348,1,9
690,SO44349,1,5
691,SO44349,1,9
692,SO44350,1,5
693,SO44350,1,9
694,SO44351,1,5
695,SO44351,1,9
696,SO44352,1,5
697,SO44352,1,9
698,SO44357,1,5
699,SO44357,1,9
700,SO44358,1,5
701,SO44358,1,9
702,SO44359,1,5
703,SO44359,1,9
704,SO44360,1,5
705,SO44360,1,9
706,SO44361,1,5
707,SO44361,1,9
708,SO44362,1,5
709,SO44362,1,9
710,SO44363,1,5
711,SO44363,1,9
712,SO44365,1,5
713,SO44365,1,9
714,SO44366,1,5
715,SO44366,1,9
716,SO44368,1,5
717,SO44368,1,9
718,SO44369,1,5
719,SO44369,1,9
720,SO44370,1,5
721,SO44370,1,9
722,SO44371,1,5
723,SO44371,1,9
724,SO44372,1,5
725,SO44372,1,9
726,SO44373,1,5
727,SO44373,1,9
728,SO44374,1,5
729,SO44374,1,9
730,SO44375,1,5
731,SO44375,1,9
732,SO44377,1,5
733,SO44377,1,9
734,SO44380,1,5
735,SO44380,1,9
736,SO44381,1,5
737,SO44381,1,9
738,SO44383,1,5
739,SO44383,1,9
740,SO44384,1,5
741,SO44384,1,9
742,SO44385,1,5
743,SO44385,1,9
744,SO44386,1,5
745,SO44386,1,9
746,SO44388,1,5
747,SO44388,1,9
748,SO44389,1,5
749,SO44389,1,9
750,SO44390,1,5
751,SO44390,1,9
752,SO44391,1,5
753,SO44391,1,9
754,SO44392,1,5
755,SO44392,1,9
756,SO44394,1,5
757,SO44394,1,9
758,SO44395,1,5
759,SO44395,1,9
760,SO44398,1,5
761,SO44398,1,9
762,SO44399,1,5
763,SO44399,1,9
764,SO44400,1,5
765,SO44400,1,9
766,SO44401,1,5
767,SO44401,1,9
768,SO44402,1,5
769,SO44402,1,9
770,SO44404,1,5
771,SO44404,1,9
772,SO44405,1,5
773,SO44405,1,9
774,SO44406,1,5
775,SO44406,1,9
776,SO44410,1,5
777,SO44410,1,9
778,SO44411,1,5
779,SO44411,1,9
780,SO44413,1,5
781,SO44413,1,9
782,SO44414,1,5
783,SO44414,1,9
784,SO44415,1,5
785,SO44415,1,9
786,SO44417,1,5
787,SO44417,1,9
788,SO44418,1,5
789,SO44418,1,9
790,SO44419,1,5
791,SO44419,1,9
792,SO44420,1,5
793,SO44420,1,9
794,SO44421,1,5
795,SO44421,1,9
796,SO44423,1,5
797,SO44423,1,9
798,SO44424,1,5
799,SO44424,1,9
800,SO44425,1,5
801,SO44425,1,9
802,SO44426,1,5
803,SO44426,1,9
804,SO44427,1,5
805,SO44427,1,9
806,SO44428,1,5
807,SO44428,1,9
808,SO44429,1,5
809,SO44429,1,9
810,SO44430,1,5
811,SO44430,1,9
812,SO44431,1,5
813,SO44431,1,9
814,SO44432,1,5
815,SO44432,1,9
816,SO44433,1,5
817,SO44433,1,9
818,SO44434,1,5
819,SO44434,1,9
820,SO44435,1,5
821,SO44435,1,9
822,SO44438,1,5
823,SO44438,1,9
824,SO44439,1,5
825,SO44439,1,9
826,SO44440,1,5
827,SO44440,1,9
828,SO44441,1,5
829,SO44441,1,9
830,SO44443,1,5
831,SO44443,1,9
832,SO44444,1,5
833,SO44444,1,9
834,SO44445,1,5
835,SO44445,1,9
836,SO44446,1,5
837,SO44446,1,9
838,SO44447,1,5
839,SO44447,1,9
840,SO44448,1,5
841,SO44448,1,9
842,SO44449,1,5
843,SO44449,1,9
844,SO44450,1,5
845,SO44450,1,9
846,SO44451,1,5
847,SO44451,1,9
848,SO44453,1,5
849,SO44453,1,9
850,SO44454,1,5
851,SO44454,1,9
852,SO44455,1,5
853,SO44455,1,9
854,SO44457,1,5
855,SO44457,1,9
856,SO44458,1,5
857,SO44458,1,9
858,SO44459,1,5
859,SO44459,1,9
860,SO44461,1,5
861,SO44461,1,9
862,SO44462,1,5
863,SO44462,1,9
864,SO44464,1,5
865,SO44464,1,9
866,SO44469,1,5
867,SO44469,1,9
868,SO44470,1,5
869,SO44470,1,9
870,SO44472,1,5
871,SO44472,1,9
872,SO44473,1,5
873,SO44473,1,9
874,SO44476,1,5
875,SO44476,1,9
876,SO44477,1,5
877,SO44477,1,9
878,SO44478,1,5
879,SO44478,1,9
880,SO44572,1,5
881,SO44572,1,9
882,SO44576,1,5
883,SO44576,1,9
884,SO44577,1,5
885,SO44577,1,9
886,SO44578,1,5
887,SO44578,1,9
888,SO44579,1,5
889,SO44579,1,9
890,SO44580,1,5
891,SO44580,1,9
892,SO44583,1,5
893,SO44583,1,9
894,SO44584,1,5
895,SO44584,1,9
896,SO44585,1,5
897,SO44585,1,9
898,SO44586,1,5
899,SO44586,1,9
900,SO44587,1,5
901,SO44587,1,9
902,SO44590,1,5
903,SO44590,1,9
904,SO44592,1,5
905,SO44592,1,9
906,SO44593,1,5
907,SO44593,1,9
908,SO44594,1,5
909,SO44594,1,9
910,SO44596,1,5
911,SO44596,1,9
912,SO44597,1,5
913,SO44597,1,9
914,SO44599,1,5
915,SO44599,1,9
916,SO44600,1,5
917,SO44600,1,9
918,SO44602,1,5
919,SO44602,1,9
920,SO44605,1,5
921,SO44605,1,9
922,SO44606,1,5
923,SO44606,1,9
924,SO44607,1,5
925,SO44607,1,9
926,SO44608,1,5
927,SO44608,1,9
928,SO44609,1,5
929,SO44609,1,9
930,SO44610,1,5
931,SO44610,1,9
932,SO44611,1,5
933,SO44611,1,9
934,SO44612,1,5
935,SO44612,1,9
936,SO44613,1,5
937,SO44613,1,9
938,SO44614,1,5
939,SO44614,1,9
940,SO44615,1,5
941,SO44615,1,9
942,SO44616,1,5
943,SO44616,1,9
944,SO44617,1,5
945,SO44617,1,9
946,SO44618,1,5
947,SO44618,1,9
948,SO44619,1,5
949,SO44619,1,9
950,SO44620,1,5
951,SO44620,1,9
952,SO44621,1,5
953,SO44621,1,9
954,SO44622,1,5
955,SO44622,1,9
956,SO44623,1,5
957,SO44623,1,9
958,SO44625,1,5
959,SO44625,1,9
960,SO44626,1,5
961,SO44626,1,9
962,SO44629,1,5
963,SO44629,1,9
964,SO44630,1,5
965,SO44630,1,9
966,SO44631,1,5
967,SO44631,1,9
968,SO44632,1,5
969,SO44632,1,9
970,SO44633,1,5
971,SO44633,1,9
972,SO44634,1,5
973,SO44634,1,9
974,SO44635,1,5
975,SO44635,1,9
976,SO44636,1,5
977,SO44636,1,9
978,SO44637,1,5
979,SO44637,1,9
980,SO44638,1,5
981,SO44638,1,9
982,SO44640,1,5
983,SO44640,1,9
984,SO44641,1,5
985,SO44641,1,9
986,SO44643,1,5
987,SO44643,1,9
988,SO44644,1,5
989,SO44644,1,9
990,SO44647,1,5
991,SO44647,1,9
992,SO44651,1,5
993,SO44651,1,9
994,SO44654,1,5
995,SO44654,1,9
996,SO44656,1,5
997,SO44656,1,9
998,SO44658,1,5
999,SO44658,1,9
1000,SO44659,1,5
1001,SO44659,1,9
1002,SO44660,1,5
1003,SO44660,1,9
1004,SO44663,1,5
1005,SO44663,1,9
1006,SO44664,1,5
1007,SO44664,1,9
1008,SO44666,1,5
1009,SO44666,1,9
1010,SO44667,1,5
1011,SO44667,1,9
1012,SO44668,1,5
1013,SO44668,1,9
1014,SO44670,1,5
1015,SO44670,1,9
1016,SO44671,1,5
1017,SO44671,1,9
1018,SO44672,1,5
1019,SO44672,1,9
1020,SO44673,1,5
1021,SO44673,1,9
1022,SO44674,1,5
1023,SO44674,1,9
1024,SO44676,1,5
1025,SO44676,1,9
1026,SO44677,1,5
1027,SO44677,1,9
1028,SO44678,1,5
1029,SO44678,1,9
1030,SO44680,1,5
1031,SO44680,1,9
1032,SO44682,1,5
1033,SO44682,1,9
1034,SO44683,1,5
1035,SO44683,1,9
1036,SO44684,1,5
1037,SO44684,1,9
1038,SO44685,1,5
1039,SO44685,1,9
1040,SO44686,1,5
1041,SO44686,1,9
1042,SO44688,1,5
1043,SO44688,1,9
1044,SO44689,1,5
1045,SO44689,1,9
1046,SO44692,1,5
1047,SO44692,1,9
1048,SO44693,1,5
1049,SO44693,1,9
1050,SO44694,1,5
1051,SO44694,1,9
1052,SO44696,1,5
1053,SO44696,1,9
1054,SO44697,1,5
1055,SO44697,1,9
1056,SO44699,1,5
1057,SO44699,1,9
1058,SO44700,1,5
1059,SO44700,1,9
1060,SO44702,1,5
1061,SO44702,1,9
1062,SO44703,1,5
1063,SO44703,1,9
1064,SO44705,1,5
1065,SO44705,1,9
1066,SO44706,1,5
1067,SO44706,1,9
1068,SO44707,1,5
1069,SO44707,1,9
1070,SO44709,1,5
1071,SO44709,1,9
1072,SO44710,1,5
1073,SO44710,1,9
1074,SO44711,1,5
1075,SO44711,1,9
1076,SO44713,1,5
1077,SO44713,1,9
1078,SO44714,1,5
1079,SO44714,1,9
1080,SO44715,1,5
1081,SO44715,1,9
1082,SO44716,1,5
1083,SO44716,1,9
1084,SO44718,1,5
1085,SO44718,1,9
1086,SO44719,1,5
1087,SO44719,1,9
1088,SO44720,1,5
1089,SO44720,1,9
1090,SO44722,1,5
1091,SO44722,1,9
1092,SO44724,1,5
1093,SO44724,1,9
1094,SO44727,1,5
1095,SO44727,1,9
1096,SO44729,1,5
1097,SO44729,1,9
1098,SO44730,1,5
1099,SO44730,1,9
1100,SO44731,1,5
1101,SO44731,1,9
1102,SO44732,1,5
1103,SO44732,1,9
1104,SO44733,1,5
1105,SO44733,1,9
1106,SO44734,1,5
1107,SO44734,1,9
1108,SO44735,1,5
1109,SO44735,1,9
1110,SO44737,1,5
1111,SO44737,1,9
1112,SO44738,1,5
1113,SO44738,1,9
1114,SO44739,1,5
1115,SO44739,1,9
1116,SO44803,1,5
1117,SO44803,1,9
1118,SO44804,1,5
1119,SO44804,1,9
1120,SO44805,1,5
1121,SO44805,1,9
1122,SO44806,1,5
1123,SO44806,1,9
1124,SO44808,1,5
1125,SO44808,1,9
1126,SO44810,1,5
1127,SO44810,1,9
1128,SO44811,1,5
1129,SO44811,1,9
1130,SO44812,1,5
1131,SO44812,1,9
1132,SO44813,1,5
1133,SO44813,1,9
1134,SO44814,1,5
1135,SO44814,1,9
1136,SO44816,1,5
1137,SO44816,1,9
1138,SO44817,1,5
1139,SO44817,1,9
1140,SO44818,1,5
1141,SO44818,1,9
1142,SO44819,1,5
1143,SO44819,1,9
1144,SO44822,1,5
1145,SO44822,1,9
1146,SO44823,1,5
1147,SO44823,1,9
1148,SO44824,1,5
1149,SO44824,1,9
1150,SO44825,1,5
1151,SO44825,1,9
1152,SO44826,1,5
1153,SO44826,1,9
1154,SO44828,1,5
1155,SO44828,1,9
1156,SO44830,1,5
1157,SO44830,1,9
1158,SO44832,1,5
1159,SO44832,1,9
1160,SO44833,1,5
1161,SO44833,1,9
1162,SO44835,1,5
1163,SO44835,1,9
1164,SO44836,1,5
1165,SO44836,1,9
1166,SO44837,1,5
1167,SO44837,1,9
1168,SO44838,1,5
1169,SO44838,1,9
1170,SO44839,1,5
1171,SO44839,1,9
1172,SO44840,1,5
1173,SO44840,1,9
1174,SO44841,1,5
1175,SO44841,1,9
1176,SO44842,1,5
1177,SO44842,1,9
1178,SO44843,1,5
1179,SO44843,1,9
1180,SO44844,1,5
1181,SO44844,1,9
1182,SO44845,1,5
1183,SO44845,1,9
1184,SO44846,1,5
1185,SO44846,1,9
1186,SO44851,1,5
1187,SO44851,1,9
1188,SO44852,1,5
1189,SO44852,1,9
1190,SO44854,1,5
1191,SO44854,1,9
1192,SO44857,1,5
1193,SO44857,1,9
1194,SO44858,1,5
1195,SO44858,1,9
1196,SO44859,1,5
1197,SO44859,1,9
1198,SO44860,1,5
1199,SO44860,1,9
1200,SO44861,1,5
1201,SO44861,1,9
1202,SO44862,1,5
1203,SO44862,1,9
1204,SO44863,1,5
1205,SO44863,1,9
1206,SO44867,1,5
1207,SO44867,1,9
1208,SO44868,1,5
1209,SO44868,1,9
1210,SO44869,1,5
1211,SO44869,1,9
1212,SO44870,1,5
1213,SO44870,1,9
1214,SO44872,1,5
1215,SO44872,1,9
1216,SO44873,1,5
1217,SO44873,1,9
1218,SO44875,1,5
1219,SO44875,1,9
1220,SO44876,1,5
1221,SO44876,1,9
1222,SO44877,1,5
1223,SO44877,1,9
1224,SO44878,1,5
1225,SO44878,1,9
1226,SO44879,1,5
1227,SO44879,1,9
1228,SO44880,1,5
1229,SO44880,1,9
1230,SO44881,1,5
1231,SO44881,1,9
1232,SO44882,1,5
1233,SO44882,1,9
1234,SO44883,1,5
1235,SO44883,1,9
1236,SO44884,1,5
1237,SO44884,1,9
1238,SO44885,1,5
1239,SO44885,1,9
1240,SO44886,1,5
1241,SO44886,1,9
1242,SO44887,1,5
1243,SO44887,1,9
